Tweet;Tradução;Sentimento;Favoritos;Retweets;Data;Location;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Salvador/Bahêa.;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Palestina, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
Michel Teló show no Guarujá  http      ;Michel Teló show in Guarujá http;2;0;0;04/11/2016;Santos;
RT : Bora assistir mais um ???;RT : Bora watch more ???;2;0;10;04/11/2016;;
RT : Enquete  Qual time está mais forte??;RT : a Poll of Which team is stronger??;2;0;1;04/11/2016;São Paulo, Brasil;
Todo mundo curtindo o time  no       ;Everyone enjoying the time in the;3;1;0;04/11/2016;Sao Paulo, Brazil;
RT :     http ;RT : http;2;0;1;04/11/2016;Sao Paulo, Brazil;
RT : E esse cara sensacional já mudou a minha vida. Deus te abençoe Brown! ??  … http ;RT : AND this great guy has already changed my life. God bless you Brown! for sorting me out? ... http;2;0;1;04/11/2016;Sao Paulo, Brazil;
        http ;http;2;1;0;04/11/2016;Sao Paulo, Brazil;
     http ;http;2;3;1;04/11/2016;São Paulo;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;São Paulo, Brasil;
RT : Eu mesma qnd vejo que tem show do  pra eu ir ??  ó http ;RT : I mean I see that you have show so I can go ?? o http;2;0;4;04/11/2016;Parauapebas Para;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
E esse cara sensacional já mudou a minha vida. Deus te abençoe Brown! ??  … http ;And this great guy has already changed my life. God bless you Brown! for sorting me out? ... http;3;1;1;04/11/2016;Sao Paulo, Brazil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : Ainda não. Batalhas primeiro.  http ;RT : not Yet. Battles first. http;2;0;6;04/11/2016;Rio de Janeiro, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : Como fica meu coração de tanto orgulho? Meu lindo no      …;RT : How is my heart with so much pride? My beautiful in ...;2;0;1;04/11/2016;Campo Grande, Brasil;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Campo Grande, Brasil;
RT : Mais um programa topp demais!!!  ;RT : the More a program topp too!!!;2;0;14;04/11/2016;Fortaleza-Ce;
RT : Só tem fera participando!!! ;RT : Just beast participating!!!;2;0;11;04/11/2016;Fortaleza-Ce;
Como fica meu coração de tanto orgulho? Meu lindo no     … http ;How is my heart with so much pride? My beautiful in ... http;2;4;1;04/11/2016;São Paulo;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;Sorriso, Mato Grosso;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Sorriso, Mato Grosso;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016; Jataí-GO / Brasil  ;
RT : Ivete Sangalo terá a função de Dona da Porra Toda no ;RT : Ivete Sangalo will be the role of the Mistress of the Cum All in;2;0;32;04/11/2016;Sergipe, Brasil;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;Sergipe, Brasil;
RT : Ivete Sangalo terá a função de Dona da Porra Toda no ;RT : Ivete Sangalo will be the role of the Mistress of the Cum All in;2;0;32;04/11/2016;;
RT : - eu comecei a cantar por causa do meu pai. - ele é musico? - não, ou eu cantava ou apanhava.  ;RT : - I started singing because of my father. - he is a musician? - no, or I sang or picked up.;2;0;5;04/11/2016;NATAL;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Recife, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Rio de Janeiro, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;fortaleza;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;?bolha.vilanelli.gn? ;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Rio de Janeiro, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Pernambucana, Visse?!;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Minas Gerais;
RT : Mais um programa topp demais!!!  ;RT : the More a program topp too!!!;2;0;14;04/11/2016;;
RT : Clique em 'seguir' e receba Tweets sobre o último dia de audições do  em tempo real na TL!  ? htt…;RT : Click the 'follow' and receive Tweets on the last day of hearings in real time on the TL! ? htt...;2;0;13;04/11/2016;São José dos Campos, Brasil;
RT : Começou o último dia de audições do !  Clique em 'seguir' e acompanhe no ? http ;RT : Started the last day of auditions ! Click 'follow' and keep track on ? http;2;0;8;04/11/2016;São José dos Campos, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;São José dos Campos, Brasil;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Tá querendo saber pq? eu hein;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Rio Branco, Acre;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;Rio Grande do Norte, Brasil;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;RJ- Brasil;
RT : Infiel da Mariília Mendonça é o hino da sofrência. ;RT : the Unfaithful of the Mariília Mendonça is the anthem of the sofrência.;2;0;211;04/11/2016;Plataforma 9 ¾;
RT : Ivete Sangalo no The Voice, finalmente uma cantora de verdade no programa né gente ;RT : Ivete Sangalo in The Voice, finally a singer of truth in the program, né;3;0;3;04/11/2016;RJ- Brasil;
RT : Mais um programa topp demais!!!  ;RT : the More a program topp too!!!;2;0;14;04/11/2016;Plataforma 9 ¾;
RT : Ivete quarta-feira no programa! Amo ??? ;RT : Ivete Wednesday in the program! I love ???;2;0;3;04/11/2016;RJ- Brasil;
RT : Semana que vem já teremos Ivete Sangalo para abrilhantar esse time cansado de jurados do  ???;RT : next Week we will already Ivete Sangalo to commemorate this time tired of the judges of the ???;2;0;2;04/11/2016;RJ- Brasil;
RT : Ivete rainha na quarta-feira no  ;RT : Ivete queen on Wednesday;2;0;2;04/11/2016;RJ- Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Marabá, Brasil;
RT : Ivete Sangalo terá a função de Dona da Porra Toda no ;RT : Ivete Sangalo will be the role of the Mistress of the Cum All in;2;0;32;04/11/2016;;
Bruno e Gabriel os crushs dessa temporada  http  me sigam;Bruno and Gabriel the crushs of the season-http follow me;2;2;0;04/11/2016;São Bernardo do Campo, Brasil;
RT : Ivete rainha na quarta-feira no  ;RT : Ivete queen on Wednesday;2;0;2;04/11/2016;BRASIL;
RT : Ivete vai bombar ? ;RT : Ivete vai bombar ?;2;0;1;04/11/2016;BRASIL;
RT : Semana que vem já teremos Ivete Sangalo para abrilhantar esse time cansado de jurados do  ???;RT : next Week we will already Ivete Sangalo to commemorate this time tired of the judges of the ???;2;0;2;04/11/2016;BRASIL;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Fortaleza;
RT : Ivete quarta-feira no programa! Amo ??? ;RT : Ivete Wednesday in the program! I love ???;2;0;3;04/11/2016;BRASIL;
RT : VAI TER IVETE SIMMMMMM  AMO A IVETE NO THE VOICE, GNT;RT : WILL HAVE IVETE SIMMMMMM LOVE HER ON THE VOICE, GNT;2;0;1;04/11/2016;BRASIL;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Estados Unidos;
RT : Vejo o Tiago Leifert já lembro que essa peste vai apresenta o BBB  http ;RT : I See Tiago Leifert already remember that this plague will display the BBB http;1;0;38;04/11/2016;marte;
RT : Lulu sou eu, quando chega alguém que eu não gosto em uma festa  http ;RT : Lulu am I, when somebody else comes in that I don't like at a party http;2;0;90;04/11/2016;marte;
RT : Não guento esse povo com 17 anos que vai no  só pra humilhar a gente com nossas voz de gralha;RT : guenta that people with 17 years old that goes in just to humiliate us with our voice of jackdaw;2;0;15;04/11/2016;marte;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Neptune;
RT : Ninguém virou pra Lorde de Juazeiro ;RT : No one turned to Lord Juazeiro;2;0;15;04/11/2016;marte;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;marte;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;marte;
RT : Ivete Sangalo no The Voice, finalmente uma cantora de verdade no programa né gente ;RT : Ivete Sangalo in The Voice, finally a singer of truth in the program, né;3;0;3;04/11/2016;BRASIL;
RT : Ivete Sangalo terá a função de Dona da Porra Toda no ;RT : Ivete Sangalo will be the role of the Mistress of the Cum All in;2;0;32;04/11/2016;BRASIL;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Cruzeiro do Sul, Acre;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Chicago;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Belo Horizonte, Brasil;
 ??;??;0;2;0;04/11/2016;Itupeva, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;RECIFE | OLINDA | PE - BRASIL;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;São José dos Campos, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Fortaleza;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Teresina, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Recife;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Rio das Ostras - RJ;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Salvador - Bahia;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;BRAZIL;
RT :  - Twitteiros comentam o reality musical da Globo.  http ;RT: twitter users commenting on the reality of music in the Globe. http;2;0;10;04/11/2016;campina grande;
Já to ansioso pras batalhas ! ? ;I'm already looking forward for the battles ! ?;1;4;0;04/11/2016;São Paulo, Brasil;
RT : Até os candidatos mais ruins do  são mais afinados que do ;RT : Until the candidates most poor are more tuned that the;1;0;163;04/11/2016;#brasil  ;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Porto Alegre, Brasil;
